genero,semana,fase,pool,local,data,time_mandante,time_visitante,placar_sets,set1,set2,set3,set4,set5,status
Feminino,Semana 4,Final (QF/SF/3º/Final),Final Round - Macau (CHN),Macau - Macau East Asian Games Dome,25/07/2026,SF2,TBD,-,,,,,,Próximo Jogo
Feminino,Semana 4,Final (QF/SF/3º/Final),Final Round - Macau (CHN),Macau - Macau East Asian Games Dome,26/07/2026,Bronze,TBD,-,,,,,,Próximo Jogo
Feminino,Semana 4,Final (QF/SF/3º/Final),Final Round - Macau (CHN),Macau - Macau East Asian Games Dome,26/07/2026,Final (Ouro),TBD,-,,,,,,Próximo Jogo
Masculino,Semana 1,Fase Preliminar,Pool 1 - Ottawa (CAN),Ottawa - TD Place Arena,10/06/2026,Turquia,EUA,1-3,20-25,25-20,20-25,23-25,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 1 - Ottawa (CAN),Ottawa - TD Place Arena,10/06/2026,França,Itália,3-2,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 1 - Ottawa (CAN),Ottawa - TD Place Arena,10/06/2026,Canadá,Alemanha,1-3,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 1 - Ottawa (CAN),Ottawa - TD Place Arena,11/06/2026,Alemanha,Itália,1-3,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 1 - Ottawa (CAN),Ottawa - TD Place Arena,11/06/2026,Canadá,França,3-1,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 1 - Ottawa (CAN),Ottawa - TD Place Arena,12/06/2026,Alemanha,EUA,0-3,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 1 - Ottawa (CAN),Ottawa - TD Place Arena,12/06/2026,Turquia,França,3-1,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 1 - Ottawa (CAN),Ottawa - TD Place Arena,13/06/2026,Canadá,EUA,2-3,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 1 - Ottawa (CAN),Ottawa - TD Place Arena,13/06/2026,Turquia,Itália,0-3,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 1 - Ottawa (CAN),Ottawa - TD Place Arena,14/06/2026,Alemanha,França,3-1,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 1 - Ottawa (CAN),Ottawa - TD Place Arena,14/06/2026,Canadá,Turquia,2-3,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 1 - Ottawa (CAN),Ottawa - TD Place Arena,14/06/2026,EUA,Itália,2-3,18-25,25-15,19-25,25-18,10-15,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,10/06/2026,Bélgica,Bulgária,3-1,20-25,26-24,26-24,25-23,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,10/06/2026,Sérvia,Argentina,3-0,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,10/06/2026,Brasil,Irã,3-0,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,11/06/2026,Bulgária,Irã,3-0,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,11/06/2026,Brasil,Bélgica,3-1,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,12/06/2026,Bélgica,Sérvia,3-1,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,12/06/2026,Irã,Argentina,3-0,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,13/06/2026,Brasil,Sérvia,3-0,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,13/06/2026,Bulgária,Argentina,3-1,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,14/06/2026,Bélgica,Irã,3-2,25-23,25-22,23-25,17-25,15-12,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,14/06/2026,Bulgária,Sérvia,1-3,,,,,,Realizado
Masculino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,14/06/2026,Brasil,Argentina,3-2,,,,,,Realizado
